ps_id,epe_service,epe_start,epe_end,epe_contract_value,epe_stages,epe_high_risk,epe_contract_type,epe_gia,epe_description_1,epe_description_2,epe_description_3,epe_notes,data_origin,e_id,pm_id,temp_sort
8,Energy Consultant,2024,2024,50000,01-Feb,FALSE,NHS Standard T&C’s of contract,"17,173","In 2023,Nordwick Consulting were commissioned by (private firm), through its retained consultant (private firm), to undertake a decarbonisation feasibility study across a number of buildings on the hospital estate. This supported private firm's Outline Business Case to inform retention or disposal as part of the new future Hospital redevelopment.","I led the project and undertook a proportion of decarbonisation feasibility studies for 9 operational buildings and residential accommodation. I was responsible for developing Heat Decarbonisation Plans, in accordance with Salix funding requirements to support the Outline Business Case for the new (private firm) Development, and carried out option appraisals for standalone low carbon heating systems or connection to the new hospital energy centre where appropriate.","One of the challenges with this project was to undertake the M&E and building surveys within a live working hospital environment. At the outset of the project we established all points of liaison and surveys were arranged at the appropriate time to avoid any disruption to patients, staff and visitors.",Use this for demo,demo,150,56,59
11,Project Manager and Contract Administrator,2021,,1000000,02-Jul,FALSE, NEC,"4,628²","The town Pavilion, part of the historic Gardens in the county, is a beautifully restored Victorian building originally opened in 1871. Now Grade II-listed, it houses a conservatory, art gallery, retail spaces, and the grand Hall. On this site, this project entails a full renewal of the site's main heating system, including refurbishment of the existing ventilation plant, which has reached the end of its operational life. The selected location for the heating plant will require substantial construction efforts, including significant drainage upgrades and the establishment of compliant access to the basement, again recognising the limitations introduced by the Grade II listing. The design is currently progressing assertively into Stage 4.","As Project Manager, I oversee the design stages, ensuring roles are clearly defined, the project scope is met, budgets are strictly managed, risks are promptly identified and addressed, and stakeholder communication is consistently maintained.","Given the building's Grade II listing, it was essential to minimise heritage impact to secure Listed Building Consent while ensuring the solution effectively meets the site's operational requirements. This has been achieved by appointing experienced consultants to the project versed in traditional buildings to oversee the design development in addition to undergoing pragmatic design options appraisals and regular stakeholder meetings with the Local Planning Authority and Conservation Officers.",Use this for demo,demo,151,57,60
11,Energy Surveyor,2024,,1000000,01-Feb,FALSE,N/A,,"Performed BS EN 16247-compliant energy audits for mechanically complex public sector buildings, typically funded by LCSF, preluding PSDS funding schemes.","I was responsible for delivering building-specific decarbonisation plans as technical reports. This enabled the team to understand the viability of introducing clean/renewable technologies (demand reduction, smarter buildings, renewable generation, and decarbonising heat) and their associated costs and savings. It was then presented to clients and stakeholders as required. Audits include holistic assessments on M+E services and building fabric to identify opportunities to retrofit improvements and any required enabling works.","The types of buildings that have undergone detailed technical audits vary from simple commercial sites to large complex buildings used within a health service capacity. Thus, the solutions vary dramatically reflective of the building’s operational needs. For large sites in relatively close proximity to others, we have also reviewed the opportunities to install large heat network solutions. To reach net zero, any use of fossil fuels must be removed, which is the mentality adopted within our approach to deliver the works. Thus, we always deliver Net Zero operational carbon solutions.",Use this for demo,demo,151,58,61
11,Energy Manager,2023,,40000,N/A,FALSE,N/A,,Collate and analyse energy consumption from the client’s entire estate portfolio by maintaining their Energy Management System. We also monitored and reported their energy and carbon performance to track annual progress against the Council’s carbon reduction strategies. Our service also included energy audits of poor performing properties identified from the consumption profiling activities.,"Delivered energy and carbon management services for a County Council's corporate and school estate, focusing on their estate compliance, carbon inventories, energy performance monitoring, and decarbonisation strategies. Energy management systems (eSight) were used to transpose and record utilities, meters, and respective energy consumption from their suppliers. Supported year-on-year energy/carbon reductions through estate management and capital investment planning by incorporating the analysed data.","Key achievements include analysing large datasets to identify priority assets as a ‘strategic estate-wide decarbonisation plan’, surveying and costing £1m in capital investments and retrofits, enabling design and construction projects to begin Net Zero and decarbonisation transition at these sites.  Why did the client want this service to be delivered.",Use this for demo,demo,151,59,62
13,Construction Site Manager,2017,2019,,All stages,FALSE,D&B,Acres Unknown,"A new build development of 67 properties with a mix of tenures 2 bed social housing to 5 bed luxury spec detached properties with extended grounds and a very high individual specification.
","Lead Site Manager for the whole development with day-to-day control of all operations on site, health and safety, ordering materials, organising labour, hitting programme days and delivering a quality product and outcome. The result was to leave a fully completed new estate of housing and public open spaces.
","The development was a challenging project to deliver with the need for extensive storm water attenuation controls needed in the form of underground tanks and reduced flow discharge controls. 
The specification on the signature properties was extensive and very high with many additional extras not normally seen in domestic properties, surround sound throughout properties, extensive surveillance, keyless entry systems - gates – property access doors, underground parking, lifts to all floors and swimming pools.",Use this for demo,demo,154,60,63
13,Site Manager,2012,2016,10000000,All stages,FALSE,D&B,Acres Unknown,"New build development of 75 Properties on a demanding sloping site with limited access through an existing estate. I was involved in this development from initial ground clearance and investigation to handover of the final property to its new owner.
","Responsible for all aspects of the development’s delivery, health and safety, instructing subcontractors, checking works, ordering materials, keeping accurate records and reporting progress to ensure a high quality of works were produced.
",The development was only accessible through a completed estate road. And on a steeply sloping site with drainage being a major obstacle as a live railway line was beyond the bottom boundary of the development. This required permanent engineering solutions including pumped foul sewer chamber and additional storm water collection and controlled release infrastructure being built. Additionally due to the restricted access through an existing housing estate the need to carefully control and co-ordinate materials deliveries and neighbour relations was paramount in dealing with all parties.,Use this for demo,demo,154,61,64
5,Lead Structural Engineer,2024,,13700000,3 – 4,FALSE,JCT Traditional,~2650m2,"This is a two-storey standalone expansion to an existing Academy, incorporating a sports hall and a stepped flat roof with parapet. The superstructure is a steel frame with an in-situ concrete composite deck forming the floors and main roof, utilising composite action with the primary steels designed and detailed in accordance with disproportionate collapse requirements set out in Building Regulations Part A3 for a Category 2b building. The sports hall roof is a structural metal deck. Translucent proprietary danpatherm cladding has been used alongside bricks and brick slip panels. The substructure is traditional strip and pad foundation system, deepening towards the adjacent trees to the west side of the building. A suspended precast concrete beam and block ground floor has been used throughout.",I took over the project from stage three onwards and was the Lead Structural Engineer carrying out design calculations and drawings for the project.,"Limited headroom for the floor construction dictated the use of composite design. Several iterations of analysis, including floor vibration assessments were carried out to create efficiencies make best use of the space available. This negated the need to raise the building height, thus keeping costs and embodied carbon down. The novel proprietary danpatherm cladding, combined with traditional masonry and brick slip panels throughout the external envelope required precise coordination between disciplines.",Use this for demo,demo,99,62,65
5,Lead Structural Engineer,2023,,13000000,2-4 Ongoing,FALSE,JCT Traditional,2346m2,"This is a two-storey, with small single storey area, proposed 2fe primary school in the area with full height sports hall. Roofs are flat. There is a colonnade on the Southern elevation of the building. The superstructure is a braced steel frame with precast concrete planks, designed and detailed in accordance with disproportionate collapse requirements set out in Building Regulations Part A for a Category 2b building. The substructure is piled with reinforced concrete ground beam foundations throughout the whole building, with suspended precast concrete beam and block ground floor throughout. The development includes a retaining wall to the Western boundary of the site.","I was the Lead Structural Engineer from Concept through Detailed Design and am to continue this during Construction, carrying out design calculations and drawings for the project as well as liaising with the Contractor during construction.","Original geotechnical investigations indicated traditional shallow foundations would be suitable for the site but also highlighted a ‘soft spot’ within the footprint. To determine the extents of the ‘soft spot’ over the site I requested additional geotechnical investigations to be conducted, including plate load testing and additional dynamic probes. The additional investigations indicated the ‘soft spot’ had greater extents than previously thought and recommended an engineered foundation system. This required a full re-design of the foundation system to a piled solution.",Use this for demo,demo,109,63,66
5,Structural Engineer,2022,,25000000,03-May,FALSE,JCT Traditional,4600m2,"This is a large special educational needs (SEN) school in the county, with three-storey, two-storey and single-storey areas, with a mixture of pitched and flat roofs. The building includes an attached dining hall and sports hall. The superstructure is a steel frame with precast concrete planks, designed and detailed in accordance with disproportionate collapse requirements set out in Building Regulations Part A for a Category 2b building. Due to the length of the building a structural movement joint was included where the building changes angle on plan. The substructure is a CFA (Continuous Flight Auger) pile and reinforced concrete ground beam foundation solution under the three-storey area and traditional strip and pad foundations elsewhere, with suspended precast concrete beam and block ground floor throughout. External works include a reinforced concrete and masonry retaining walls.",I worked in conjunction with the Lead Structural Engineer to produce detailed design drawings and calculations from stage 3 onwards as well as liaising with the Contractor during construction.,"Due to the length and angle change of the building a movement joint was required through the primary structure. Complex structural detailing was carried out with coordination from other disciplines to enable construction and allow both sides of the building to expand and contract without a build-up of stresses. To reduce the impact on costs and minimise embodied carbon, the foundation solution also varied across the building, using the movement joint as a natural division. The three-storey area was piled, with reinforced ground beams, and the remaining areas constructed on traditional pad and strip footings. At the interface, dowelled joints have been used to minimise differential settlement.",Use this for demo,demo,109,23,67
13,Structural Engineer – Technical Advisor,2022,2025,3000000,02-Jun,FALSE,Design & Build,,"This residential project spans multiple sites and includes a mix of bungalows, houses, and flats. All buildings feature traditional masonry superstructures. The houses incorporate timber first floors, while the flats use precast concrete. Timber roof trusses were used consistently across all building types and locations. The substructure consists of traditional strip foundations, stepped where necessary due to nearby trees and cohesive soils—and a suspended precast concrete beam and block floor system.","Initially design services were provided up to stage 4 for a traditional procurement type. Following stage 4 the client indicated they would like to explore design and build procurement. Following this, I undertook a technical advisor role. As a technical advisor I wrote employers’ requirement documents, reviewed contractor proposals ensuring these met the employers’ requirements and appropriate standards and liaised with the client and contractors regarding these.","The client’s decision late into stage 4 to change procurement following design work already being undertaken for a traditional contract required a change of approach and mindset towards the project. This shift introduced new challenges but also provided an opportunity to reassess delivery strategies, ensuring alignment with the revised procurement route and maintaining project momentum.",Use this for demo,demo,109,64,68
5,Graduate Structural Engineer,2024,,10000000,04-May,FALSE,JCT Traditional,2881m2,"This Academy is a modern secondary school in the area, focused on academic excellence, student development, and strong community engagement. This project is two single-storey additional blocks to a high school and internal remodelling of some of the existing school. The two new blocks are a standalone CDT block and an extension to the dining hall. The superstructure of the proposed new buildings is steel frame, with metal deck roofs. The substructure is CFA (continuous flight auger) piles, with a RC floor slab.",I was lead structural engineer on the internal remodelling works from stage 4 and have picked up the on-site construction lead for the new build blocks from stage 5.,"Due to the King’s Lynn Site having a potential flood risk, and ground gas present, the design for the new build blocks had to incorporate flood resistant construction and sufficient gas protection measures. By accurately and promptly co-ordinating the design information with other disciplines (Civil, Architectural, Mechanical etc), we have been able to provide the client with a building that complies with local flooding and gas protection measures without having to remediate on site, which could be complicated and costly.",Use this for demo,demo,115,65,69
5,Graduate Structural Engineer,2024,,1700000,02-Apr,FALSE,JCT Traditional,567m2,"This Academy is a high-achieving secondary school in the area, catering to students aged 11 to 16. This project involves internally remodelling of three blocks. The science block remodelling involved installation of a new steel frame to allow for removal of internal loadbearing, masonry shear walls. Lateral stability is provided via a provision of steel, moment-resisting picture frames. The music block remodelling involved provision of new lintels for openings. The library block remodelling involves new lintels, and provision of new external ramp structure.",I am lead structural engineer since the start of Stage 2.,"Due to a lack of structural archive information, the behaviour of the existing science block structure was unclear. However, by undertaking some visual and intrusive structural inspections of the substructure and superstructure, I was able to confidently reduce the scope of the required structural work, saving the client both money and time on site.",Use this for demo,demo,115,66,70
5,Graduate Structural Engineer,2020,2024,8000000,2,FALSE,JCT Traditional,1109m2,"This School is a specialist school in the county for students aged 3 to 19 with complex learning needs. It provides a nurturing, inclusive environment tailored to individual abilities, offering a broad and engaging curriculum that supports academic, social, and life skills development, helping every student reach their full potential. This project involved design of a new build teaching block and hydrotherapy block at the School. The superstructure of both blocks was to be timber framed, with a timber roof. The substructure was to be a RC raft foundation. Lateral stability was to be provided via the provision of timber racking walls.","I was lead structural engineer at Stage 2, responsible for concept design and compilation of the structural drawing package.","The site had very low soil bearing capacity, necessitating the use of an engineered foundation, such as piles or a raft. By designing the substructure as an engineered raft foundation, rather than piles, it was possibly to reduce the overall embodied carbon of the project, which we able to positively report to the client. A raft foundation was also more cost effective for the client than a piled foundation in terms of labour and material costs as well as the ease of incorporating the hydrotherapy pool structure. The Hydrotherapy Pool substructure had to be designed to resist the aggressive chemical environment of a pool, to the requirements of BS8007 – Standard for Cide of Practice for Design of Concrete Structures for Retaining Aqueous Liquids and Eurocode 2 – Design of Concrete Structures.",Use this for demo,demo,115,67,71
2,Quantity Surveyor,2015,2017,4000000,02-Jun,FALSE,JCT Design & Build 2011,"18,392m2",Relocation of plant nursery services to new state of the art horticultural glasshouse. The Arium is the biggest plant nursery in the cite and one of a kind as it grows all plants on-site in four temperature-controlled growing zones.,Quantity Surveyor throughout. Tendered including Dutch consortium and specialist materials from Europe around Brexit.,Winner of a Community award in 2018.,Use this for demo,demo,68,68,72
13,Senior site manager ,2019,2024,40000000,All stages,FALSE,D&B,Hectares unknown,"The project involved all aspects of constructing a new large housing project. This included ground clearance, bring services onto and around the development, constructing a new electrical substation and major gas monitor station to new deep drainage and connections to mains and the introduction of storm water swales and attenuation tanks for storm water control. Beyond this, the project included constructing new estate roads, public open spaces and playgrounds. I was involved in all areas of this project from clearing the existing ground to completion took approximately four years of daily involvement.
","Senior site manager with daily control of project to deliver 350no - new build properties including 10no - 3 and 4 story blocks of 2 bed apartments and 250no 2 / 3- and 4-bedroom newbuild houses / terraces / semi / detached.
","The construction phase was programmed to ensure the new residents were safe and segregated from ongoing works. I led all material and labour requirements by controlling the build programme in line with Co policies and expectations. This was a major new housing development near to the centre of Doncaster. In effect building a new community from disused land, including all required infrastructure, roads, public open spaces, swales and street lighting. Social value was a major factor in the project delivery as we saw the employment of local people and engaging with the surrounding existing local community by distributing newsletters, having progress meetings with existing adjacent residents, visiting local schools, having school children visit the site, sponsoring local charities and using local businesses and local suppliers if possible, to bring additional local value to the project.",Use this for demo,demo,154,69,73
16,Clerk Of Works,2023,2026,46000000,05-Jun,FALSE,NEC 4,N/A,"This project involved the demolition of the existing structures and formation of a new main entrance to the city train statiomn with the inclusion of cycle hubs which will include electric charging and storage of cycles, members area and new entrance steps, 2 X 21 passenger lifts and pedestrianising areas with a new taxi rank facility being relocated. The scheme also involved the upgrading of roads and footpaths around the area of the main works creating cycle paths and pedestrian areas.","COWs inspections for the building elements of the project including the steel frame and facade for the new entrance, new toilet and changing facilities, cladding to the dark arches and adjacent streets to the main works","The demolition and construction has been programmed to ensure that all members of the public using both the ongoing train services and road routes still in use around the site in the city centre location are segregated from the ongoing works, beyond the immediate works has been a program of upgrading roads, footpaths, and creating new cycleways which involved close liaison with all stakeholders including hotels restaurants shops and bars, along with existing taxi provisions. The works to a Mill which has some listed features created a challenging design to deliver the space required for the purpose intended including extensive waterproofing of existing and new elements of the construction.",Use this for demo,demo,155,70,74
13,Clerk Of Works,2021,2023,5000000,05-Jun,FALSE,NEC 4,N/A,"A new development of single storey houses, along with 3 and 4 storey apartments for the social housing sector. The project involved all aspects of constructing a new large housing project. This included ground clearance, bringing new services onto and around the development, some solar panels were included within the design on the new apartment blocks to supplement landlords power usage. New deep drainage and connections to the existing mains and the introduction of storm water attenuation tanks which was controlled by a flow control system designed to prevent over charging of the existing drainage system. Off road car parking and electric car charging was included for both the apartments and houses as part of the design.",I was involved in all areas of this project from clearing the existing ground to completion took approximately 2 years of weekly inspection visits. Duties included weekly inspections during the build process through to completion to ensure that the units were built in accordance with the drawings and specification requirements up to handover of the project and 12 months defects inspection up to issuing the defects certificate.,"The construction phase was programmed to ensure the existing residents were safe and segregated from ongoing works. This was a major new housing development in an already highly populated area of the city with its own social challenges. There was ongoing social engagement with the surrounding existing local community by distributing newsletters, and using local businesses and local suppliers, if possible, to bring additional local value to the project.",Use this for demo,demo,155,71,75
13,Clerk Of Works,2022,2025,4000000,03-Jun,FALSE,NEC3 ECC Option A,m²,"The project comprised the construction of 16 Nr new build semi-detached properties and all associated external works and services on a landlocked infill site with poor site access. The construction utilised timber frame with an external masonry envelope and innovative ground source heat pump technology to provide heating for the houses supplemented by solar panels to the roofs. Individual and collective storm water attenuation was included within the design with new deep foul drainage connecting to the existing system. Off road car parking and electric car charging was included for both the apartments and houses as part of the design The project was delayed because of the construction of a retaining wall and boundary dispute which required notices to be served under the Party Wall Act 1996. Similarly, the presence of Japanese Knotweed adjacent to an existing Public Right of Way prohibited the contractual works to improve the footpath from being undertaken.",Duties include weekly inspections during the build process through to completion to ensure that the units were built in accordance with the drawings and specification requirements up to handover of the project and 12 months defects inspection up to issuing the defects certificate.,"The construction phase was programmed to ensure the existing residents were safe and segregated from ongoing works. The access to the site was a single road which made the logistics of deliveries of all building materials challenging whilst trying to maintain access/egress for the residents along the route to the development There was ongoing social engagement with the surrounding existing local community by distributing newsletters, and using local businesses and local suppliers, if possible, to bring additional local value to the project.",Use this for demo,demo,155,72,76
13,Clerk Of Works,2022,2025,3000000,03-Jun,FALSE,NEC3 ECC Option A,Unconfirmed,The project comprised the construction of 12 Nr new build semi-detached properties and all associated external works and services on a landlocked infill site with poor site access. The construction utilised timber frame with an external masonry envelope and innovative ground source heat pump technology to provide heating for the houses supplemented by solar panels to the roofs. Individual and collective storm water attenuation was included within the design with new deep foul drainage connecting to the existing system. Off road car parking and electric car charging was included for both the apartments and houses as part of the design The project was delayed significantly due to the constrained nature of the site. The site also included a new public open space to provide residents and the local community with an area of mutual natural use.,Duties include weekly inspections during the build process through to completion to ensure that the units were built in accordance with the drawings and specification requirements up to handover of the project and 12 months defects inspection up to issuing the defects certificate.,"The construction phase was programmed to ensure the existing residents were safe and segregated from ongoing works. The access to the site was along an already highly populated route which made the logistics of deliveries of all building materials challenging whilst trying to maintain access/egress for the residents along the route to the development There was ongoing social engagement with the surrounding existing local community by distributing newsletters, and using local businesses and local suppliers if possible, to bring additional local value to the project.",Use this for demo,demo,155,73,77
5,Clerk Of Works,2020,2023,26000000,05-Jun,FALSE,NEC 3,N/A,"School expansion was phased from demolition of existing buildings and construction of new school, to allow the existing school to remain operational throughout the build process. The building included the provision of new MUGA and football pitches on the site of the old school which provides a stream of income and use by residents out of school hours. The new development included new gas, electric and water mains services and the construction of a new electrical substation on the site of the new car park and bus turning hub adjacent to the school, new deep drainage and storm water attenuation was installed to prevent over charging of the existing system by means of a flow control chamber designed into the system. The new facility included teaching facilities for both practical and technical studies including science and woodwork classes to ensure a spread of learning for all student capabilities",Duties include weekly inspections during the build process through to completion to ensure that the units were built in accordance with the drawings and specification requirements up to handover of the project and 12 months defects inspection up to issuing the defects certificate.,"The construction phase was programmed to ensure the existing residents were safe and segregated from ongoing works. This was a major new school development in an already highly populated area of Leeds alongside a major busy road. The contract required maintaining the road and pedestrian routes to the school to allow pupils to access the school both on foot and by the bus services provided. There was ongoing social engagement with the surrounding existing local community by distributing newsletters, and using local businesses and local suppliers, if possible, to bring additional local value to the project.",Use this for demo,demo,155,2,78
3,Clerk Of Works,2019,2022,14000000,05-Jun,FALSE,NEC 3,N/A,"The new construction of a multi-use care home including dementia care, from demolition of existing buildings and construction of new care home. The new development included new gas, electric and water mains services and new deep drainage, storm water attenuation was installed to prevent over charging of the existing system by means of a flow control chamber designed into the system. The new facility was designed to accommodate dementia residents which included alarms to prevent vulnerable residents from unintentional egress from the facility to ensure their safety. The new care home linked to an existing care home as part of the completed design which was in full use during the construction phase.",Duties included weekly inspections during the build process through to completion to ensure that the units were built in accordance with the drawings and specification requirements up to handover of the project and 12 months defects inspection up to issuing the defects certificate.,"The construction phase was programmed to ensure the existing residents were safe and segregated from ongoing works. This was a major new care facility development in an already highly populated area of the city in the middle of a housing estate adjacent to an existing care home. The contract required maintaining the road and pedestrian routes to the residents of adjacent houses and care home. There was ongoing social engagement with the surrounding existing local community by distributing newsletters, and using local businesses and local suppliers, if possible, to bring additional local value to the project.",Use this for demo,demo,155,74,79
5,Overseeing Associate Architect,2017,2021,8000000,01-Jun,FALSE,JCT D&B,"1,900²","This project provides an 80-place extension to the School, to deliver critical ‘Special Educational Needs’ pupil places on behalf of the City Council. The expansion is primarily a 1,900m2 extension to the existing school building, arranged as a two storey ancillary block, a central circulation core, a three-storey main teaching block, and a warm ‘link’ building connecting the extension to the existing school.","In my role as overseeing Team Leader and CDM Principal Designer (up to RIBA Stage 3), I assisted the project architects to navigate key risks and constraints, including the retention of a number of mature trees and public sewer easement directly adjacent the new building, and phasing in such a way as to minimise disruption to the operations of a live SEN school.","The link building involved challenging building fabric and structural interfaces, such as bridging the Tubosider drainage system, maintaining adequate ventilation and daylight to existing teaching spaces. The key to resolving these issues was to ensure landlocked classrooms could benefit from borrowed light by maximising glazing to the link atrium and introduce a sensitively designed mechanical ventilation system.",Use this for demo,demo,58,75,80
11,Lead Architect,2014,2017,4000000,01-Jun,FALSE,Traditional Partnering,"4,000m²","Nordwick was commissioned to remodel, refurbish and complete a Category B fit out of this outdated 1980s office accommodation. Our brief was to establish the optimum number of workstations spread over five floors to accommodate 874 staff using flexible working solutions. We established that the optimum number of workstations was 524, and the design included the provision of meeting suites to accommodate varying numbers on the ground floor.","Our role within this project was to provide full design services. The Nordwick team provided full interior architectural design, project management, mechanical and electrical design, IT infrastructure design, CDMC, quantity surveying and quality management. The design element also included liaising with client subcontractors for IT equipment installations, FFE installation and security systems installation. I provided lead architect and project lead services, working closely with the interior designer and other disciplines to ensure a co-ordinated and technically feasible approach.","It was essential to address accessibility issues, so we relocated the entrance to the building to provide wheelchair access and more space for the reception. More accessible lifts and WC facilities were provided by remodelling around the centre core of the building. Measures to minimise environmental impact included providing adequate bike storage and a shower block for cyclist and runners, to encourage more people to use sustainable methods of commuting. Successfully achieving a complex phased occupation of the building tested the team but these issues were overcome by working closely with the city council's in-house contractor and a number of key sub-contractors alongside the Client over the phasing period.",Use this for demo,demo,58,76,81
5,Lead Architect,2013,2016,3000000,01-Jun,FALSE,NEC3 OPA Traditional,810m²,"The scheme involved the expansion of a Primary School from 1 Form Entry to 2 Form Entry (210 pupils to 410 pupils) to meet the requirements of the City Council Children’s Services and school pupil place criteria. The development comprised of a new two-storey, six classroom new build (Block 1) and refurbishment and small expansion of the existing nursery and reception class space, including additional WCs for staff and pupils. A new ramp area was built and draining reconfigured by Block 2. The development also incorporated a new multi-use games area, improved car parking space for staff incorporating disabled car park spaces, new bin store and bike rack space, improved pedestrian area and a new central habitat space forming the focus of the courtyard design with planting and seating to be enjoyed by staff and pupils alike.","Provided lead architectural services from RIBA Stages 2-6, prepared statutory applications, co-ordinated the multi-disciplinary team and acted as key client contact.","The site was steeply sloping with high levels of ground gas, therefore the groundworks package was complex, but the design solution was well-considered.",Use this for demo,demo,58,77,82
5,Lead Architect,2012,2015,5500000,01-Jun,FALSE,NEC3 OPA D&B,"2,231m²","We were commissioned to undertake a multi-disciplinary design and delivery of a new two form entry, and 26 nursery place Primary School based at the site of the former city Sports Centre. The school has been landscaped with a multi-use games area, as well as soft play and habitat areas. The brise soleil at the rear of the school provides an architectural feature which reduces heat gain within the building by filtering direct sunlight on the southern façade, whilst forming shaded teaching areas flowing from the ground floor classrooms.",Provided lead architectural services from RIBA Stages 1-3B co-ordinating the multi-disciplinary team and planning application. Then acted as lead client technical advisor on site as the contractor delivered under a D&B procurement with their design team.,"The proximity of the school to the motorway presented significant acoustic issues which were overcome by our specialist mechanical and electrical engineering team who designed a natural ventilation system using façade and roof mounted units. Brick fin walls act as a sound barrier from the adjacent motorway, enabling a passive ventilation strategy using opening windows, whilst maintaining ambient noise at reasonable levels in the teaching spaces.",Use this for demo,demo,58,78,83
11,Quantity Surveyor,2023,2023,750000,04-May,FALSE,NEC4 Option A,,The project involved the construction of a specialist high ropes course and new modular office.,"Provided Quantity Surveying duties on behalf of the Main Contractor appointed for the works. This involved procurement of sub-contractors, and modular cabin, management of variations, final accounts and managing the contractors design element for the works. This was delivered through to client handover.","This project was particularly challenging due to the various contractor’s design proportions may of which overlapped with the clients design, this meant a lot of the design had to be done hand in hand with the client team which often resulted in various delays. To overcome this issue, we had regular design team meeting, where we could collaboratively find solutions to the problems whilst also mitigating as many delays to the programme as possible.",Use this for demo,demo,156,79,84
11,Assistant Quantity Surveyor,2020,2024,8000000,5,FALSE,NCE3 Option A,,A refurbishment of an existing building into an event space.,"Provided Quantity Surveying duties on behalf of the Main Contractor appointed for the works with the lead senior quantity surveyor. This involved procurement of sub-contractors, management of variations and instructions, final accounts and assisting the contractors design element for the works","This project was another challenging one to deliver as we were working on a live holiday park site, during one of their peak holiday seasons. Due to weather and various start on site issues the client was already several weeks behind their anticipated completion date. To solve this issue, we firstly implemented a rigorous site boundary to prevent any issues with the public. We also worked with the client to offer both value and time saving options to help accelerate the programme. Through this we delivered the course on time for the client.",Use this for demo,demo,156,80,85
13,Project Manager (Lead),2019,2023,30000000,01-Jun,TRUE,D&B,"13,736",Demolition of the existing council estate and the construction of 4 new build residential blocks comprising of 120 affordable rent units inclusive of soft and hard landscaping and a district heating network.,"I led the design team as the PM from inception (stage 1-3) securing planning and procurement of the main contractor. From stages 4 onwards my role was PM and Employer’s Agent, whereby I administered the contract on behalf of the client.",The client required us to get into contract within 8-9 months from our commission which meant we had circa 5/6 months to complete stages 1-3 on a medium-large project and submit to planning; this required running parallel programmes to meet milestones. This was to secure the GLA funding and ensure financial viability of the scheme.,Use this for demo,demo,157,81,86
11,Garage Sites,2016,2020,6000000,01-Jun,FALSE,D&B,N/A,New Build Construction of 3 small residential sites utilising vacant garage locations within the borough.,Assistant PM from 2018 onwards - helping the lead PM/Employer’s Agent throughout stage 4-6.,All 3 contracts had significant EoT claims due to the discovery of asbestos (in 2) and the stability of the ground in another which required an engineered bank.,Use this for demo,demo,157,82,87
15,Cost and Contract Management,2023,2025,3000000,Stages 2-7,TRUE,JCT Intermediate,,"A Leisure Centre underwent a major £2.5 million refurbishment which was completed in January 2025. Part of the project included the overseeing of the removal of RAAC. Supply and install new roofs and M&E and refurbish to parts of the Leisure centre. The result was that the project delivered extensive internal upgrades, including refreshed swimming pool facilities, new lighting, and modernised reception and meeting areas.",It was my responsibility to take the project from inception to final account.,The Leisure Centre remained in operation throughout the project which was a real challenge. We had to close sections of the Leisure Centre at various times to allow works to progress. All works were programmed in advance with the Leisure Centre. Keeping the Leisure centre open helped keep member numbers steady throughout the project.,Use this for demo,demo,159,83,88
5,Senior Quantity Surveyor,2022,2024,14000000,Stages 1-7,FALSE,JCT D&B,,"This Housing is a residential development located in the area, delivered by the local authority. The project saw the development of a new build 5 storey blocks of flats containing 42 units arranged around a landscaped courtyard, with terraces that re-establish street frontage and integrate communal gardens and play areas. This development formed part of a wider regeneration initiative, helping fund new purpose-built respite care and therapy facilities nearby.",To take the project from inception through to final account and negotiate the claim for an extension of time and deed of variation.,,Use this for demo,demo,159,84,89
11,Senior Quantity Surveyor,2022,,2500000,Stage 5,FALSE,JCT MTC,,,"It is my role to keep financial control over the five MTC contracts which are General Building Repairs, Mechanical and Electrical, Water hygiene, FRA and Asbestos that we have in place at present. Monthly spend trackers, checking of estimate, agreeing final accounts., Quarterly meetings. These contracts cover Education and some corporate buildings.",Keeping on top of all the estimates an keeping the clients aware of all that is happening.,Use this for demo,demo,159,85,90
5,Mechanical Services Design Engineer,2021,2023,5500000,01-Jun,FALSE,Design and Build,950m²,"The project involved the construction of a new build education block an addition within the existing school site. The building compromised of a two-storey building, with classrooms, group rooms, welfare facility and office areas. The new classroom building is independent to the existing main building.","Responsible for delivering mechanical services design through RIBA stages 0 – 3, and then review of design and build information issued by contractor RIBA stages 4-6","Key challenges were meeting tight deadline and budget. To meet these challenges it was important to liaise with the design team regularly, understand clients’ requirements and carry out design to meet the brief and budget. Once a contractor was appointed it was important the client brief was followed through, and requirements met. Once on-site regular site meetings were held, liaising with contractor on a regular basis, carrying out any actions promptly and keeping the client well informed. It was important to make sure design and construction requirements were met through the stages to manage costs and minimise variations and complete the project on time and within budget.",Use this for demo,demo,160,86,91
